Manual Score,Manual Hospital Address,address_py,Levenshtein Distance,Jaro Wrinkler Distance,Jaccard Distance,Cosine Distance,Monge Elkan Distance *100,BWTRLENCD Distance,Monge Elkan Distance *10
0.6,"Jyoti Nagar, Boko, Kamrup, Kamrup, Assam","Boko Polyclinic and Research Centre, NH17, Boko, Kamrup, Assam, 781123, India",0.324675325,0.609776335,0.409638554,0.612637475,0.011875,0.194444444,0.11875
0.6,"Samastipur, Bihar","PHC,Sarairanjan, MDR, Sarairanjan, Samastipur, Bihar, 848130, India",0.253731343,0.445829675,0.253731343,0.503717523,0.029411765,0.095238095,0.29411765
0.65,"Telta, Katihar, Bihar","PHC TELTA, Telta, Balrampur, Katihar, Bihar, India",0.42,0.67968254,0.42,0.64807407,0.023809524,0.25,0.23809524
0.65,"Chiri, Rohtak, Haryana","CHC, Chiri, SH16A, Lakhan Majra, Rohtak, Haryana, 124514, India",0.349206349,0.631553632,0.349206349,0.59093684,0.022727273,0.12962963,0.22727273
0.8,"1136, Stadium Road, Sanjay Nagar, Delapeer, Bareilly, Uttar Pradesh","A. K. Eye Hospital, Stadium Road, Izatnagar, Bareilly, Bareilly District, Uttar Pradesh, 243005, India",0.441176471,0.667133756,0.550458716,0.725794651,0.00690577,0.172043011,0.0690577
0.7,"Hospital Road, Perinthalmanna, Malappuram, Kerala","Al Salama Eye Hospital Ltd, Calicut-Malappuram-Palakkad Road, Perinthalmanna, Malappuram, Kerala, 679322, India",0.441441441,0.66415395,0.441441441,0.664410597,0.010204082,0.121212121,0.10204082
0,"B1, Kailash Nagar, Near New High Court, Gwalior, Madhya Pradesh","Prudential Center, Massachusetts Turnpike, Back Bay, Boston, Suffolk County, Massachusetts, 02199, United States",0.214285714,0.564616402,0.377952756,0.571428571,0.006676745,0.047619048,0.06676745
0.5,"Sahadev Nagar, Ge Road, Rajnandgaon C G, Rajnandgaon, Chhattisgarh","Gol Bazar, Mamta Nagar, Rajnandgaon, Rajnandgaon Tahsil, Rajnandgaon, Chhattisgarh, 491441, India",0.536082474,0.709768487,0.582524272,0.74988284,0.007116621,0.285714286,0.07116621
0.5,"Hassan Road Dudda, Hassan, Karnataka","Bommenahalli, Hasana taluk, Hassan district, Karnataka, 573162, India",0.333333333,0.627969002,0.458333333,0.662122192,0.013117284,0.153846154,0.13117284
0.4,"Nathmalpur, Sonauli Road, Gorakhnath, Gorakhpur, Uttar Pradesh","Gorakhpur, Uttar Pradesh, 273001, India",0.241935484,0.568425302,0.463768116,0.650761468,0.007284079,0.25,0.07284079
0.65,"Dausa, Rajasthan","CHC Gijgarh, SH25, Goliya, Geejgarh, Sikari Tehsil, Dausa, Rajasthan, 303502, India",0.192771084,0.448493976,0.192771084,0.43905704,0.03125,0.040540541,0.3125
