Manual Score,Manual Hospital Address,address_py,Levenshtein Distance,Jaro Wrinkler Distance,Jaccard Distance,Cosine Distance,Monge Elkan Distance,BWTRLENCD Distance,Monge Elkan Distance*10
0.7,"Muni Seva Ashram, Goraj, Vadodara, Gujarat","Muni Seva Ashram, Muni Seva Ashram Internal Road, Vagodhia Taluka, Vadodara District, Gujarat, India",0.39,0.682639933,0.392156863,0.6172134,0.011904762,0.261363636,0.11904762
0.7,"Katuri Nagar, Guntur, Andhra Pradesh","Katuri Medical College And Hospital, NH16, Edulapalem, Prathipadu, Guntur, Andhra Pradesh, 522019, India",0.336538462,0.629671527,0.346153846,0.588348405,0.013888889,0.13,0.13888889
0.4,"Indira Mill Square, Bhadohi, Uttar Pradesh","NH135A, Rampur, Mariahu, Jaunpur, Uttar Pradesh, 222203, India",0.322580645,0.599385561,0.444444444,0.627089441,0.010204082,0.068965517,0.10204082
0.4,"Meza Road, Allahabad, Uttar Pradesh","MDR121E, Meja Road, Meja, Prayagraj, Uttar Pradesh, 212303, India",0.430769231,0.620310724,0.408450704,0.608005205,0.012244898,0.064516129,0.12244898
0.7,"Village Laitryngew, BPO Laitryngew, Via Cherrapunjee, East Khasi Hills, Meghalaya","Laitryngew, PHC, Laitryngew, Shella Bholaganj, East Khasi Hills, Meghalaya, 793111, India",0.550561798,0.735952414,0.7,0.824442796,0.0057918,0.258823529,0.057918
0.65,"Post Box No 7, Madhav Nagar, Manipal, Udupi, Karnataka","Kasturba Medical College, Malpe - Manipal Road, Manipal, Udupi taluku, Udupi district, Karnataka, 576104, India",0.351351351,0.590690691,0.386554622,0.594154598,0.008058985,0.126213592,0.08058985
0.6,"Lachit Nagar, Dhemaji, Assam","Murkongselek, NH515, Rangkop Tiniali, Kuli Tiniali, Jonai, Dhemaji District, Assam, India",0.235955056,0.46688663,0.285714286,0.520834002,0.017219388,0.073170732,0.17219388
0.4,"Thanjavur, Tamil Nadu","KG Multi Speciality Hospital and Research Centre, Nagapattinam - Gudalur - Mysore Road (Old NH67), Arulananda Nagar, Thanjavur, Thanjavur District, Tamil Nadu, 613007, India",0.121387283,0.479067157,0.121387283,0.348406778,0.023809524,0.0875,0.23809524
0.4,"Colony Post Office Tapri, Nichar, Kinnaur, Himachal Pradesh","Thikru, Sangla, Kinnaur district, Himachal Pradesh, 172104, India",0.246153846,0.676943862,0.58974359,0.742805563,0.007038207,0.081967213,0.07038207
0.65,"Ward No 11, Anandpur Sahib, Ropar, Rupnagar, Punjab","Anandpur Sahib, Anandpur Sahib Tahsil, Rupnagar, Punjab, 140118, India",0.528571429,0.66410223,0.592105263,0.753144668,0.009034987,0.254237288,0.09034987
0.65,"16, Palaniappa Street, Erode, Tamil Nadu","Sampath Nagar, Erode, Erode District, Tamil Nadu, 638001, India",0.333333333,0.631421356,0.537313433,0.717137166,0.0121875,0.152542373,0.121875
0.49,"Panch Mahals, Gujarat","Jahnavi Orthopaedic Hospital, SH5;SH150, Halol, Halol Taluka, Panch Mahal District, Gujarat, 389350, India",0.198113208,0.519378821,0.198113208,0.445099099,0.023809524,0.059405941,0.23809524
0.6,"9 Inder Nagar Police Line Road, Ambala, Haryana","Leelawati Hospital, Ambala, Grand Trunk Road, Ambala, Ambala Cantt, Ambala, Haryana, 134003, India",0.285714286,0.594742365,0.394230769,0.604118159,0.009506564,0.139240506,0.09506564
0.7,"Mahuawa Farenda Road, Maharajganj, Uttar Pradesh","KMC Digital Hospital, NH730, Maharajganj, Mahrajganj, Uttar Pradesh, 273303, India",0.402439024,0.654640921,0.477272727,0.669455549,0.009548611,0.171052632,0.09548611
0.6,"Indira Mill Chauraha, Bhadohi, Uttar Pradesh","NH731B, Bhadohi, Sant Ravidas Nagar, Uttar Pradesh, 221400, India",0.292307692,0.628013163,0.493150685,0.673161833,0.010072314,0.080645161,0.10072314
0.7,"Kishanpur Tiraha Ramghat Road, Aligarh, Uttar Pradesh","Anand Hospital and Child Care Centre, Ramghat Road, Aligarh, Aligarh District, Uttar Pradesh, 202001, India",0.392523364,0.656895315,0.454545455,0.663957347,0.008899964,0.121212121,0.08899964
0.6,"49/1, Krishna Theatre Road, Erode, Tamil Nadu","Erode, Erode District, Tamil Nadu, 638001, India",0.1875,0.636342593,0.576271186,0.731563521,0.009382716,0.14893617,0.09382716
0.7,"Mansa Road, Bathinda, Punjab","Ivy Hospital, Bathinda Mansa Road, Hazi Ratan Nagar, Bathinda, Bathinda Tahsil, Bathinda, Punjab, 151005, India",0.252252252,0.538341913,0.252252252,0.502247202,0.017857143,0.178571429,0.17857143
